slug,colorCode,type,number,name,alternateNames,ciConstitutionNumber,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
PO34,O,CIPIGMENT,34,Pyrazolone Orange,"Azo Red Light [RT.o];
 Cadmium Orange (hue);
 Cadmium Red Light Hue [LK];
 C.I. Pigment Orange 34;
 Cinnebar Red (hue) [LKd];
 FastOrangeRL;
 Marigold Opaque Orange [SI.p]; 
 Permanent Orange RL;
 Permanent Orange RLO;
 Pigment Orange 34;
 Pyrazolone Orange;
 Pyrazalone Orange RL-70;
 Pyrazalone Orange RLO;
 Scheveningen Red Scarlet [OH.o.w]; 
 Vermilion (hue) [LK | RT];
 Vermilion Light (hue) [LK];
 Vermilion Red (hue);
 Vermilion Red Light (hue)",21115,"Synthetic Organic;
 ""A diarylide pigment manufactured by coupling tetrazo 3,3'- dichloro-benzidine onto 3-methyl-l-(4'methylphenyl)-pyrazol-5-one. This orange is a bright, reddish shade offering moderate
 lightfastness. (Ref Paint and Coating Testing Manual: 14th ed.; Ed. by J.
 Koleske; ASTM; 1995; p.201.
 Disazopyrazolone;
 Pyrazolone (Diarylide)
 Chemical data @ PubChem
 CAS 15793-73-4
 EC 239-898-6","Bright orange to orange red;
 Staining w/ average tinting strength.
 † Fades, darkens",X,NR,A,
PO36,O,CIPIGMENT,36,Benzimidazolone Orange HSL,"Benzimida Orange Deep [DV.o.w];
 Benzimidazolone Orange [WN];
 Benzimidazolone Orange HL [GRd];
 Brilliant Orange [MA.a.];
 Cadmium Orange Hue [MR.o];
 Cadmium Red Pale Hue;
 C.I. Pigment Orange 36;
 Fast Orange GWT;
 Imidazolone Orange [HO.wo]; 
 Orange Red [HO.a];
 Permanent Orange [MA.w]; 
 Permanent Orange HSL [GU];
 Persian Yellow [MR.o];
 Pigment Orange 36;
 Pyranthrone Orange [KP.P]
 Red Orange [SCH.p];
 Scarlet Orange [CAS.k];
 Vermilion Permanent (hue) [AS]",11780,"Synthetic Organic;
 Monoazo; Benzimidazolone;
 CAS 12236-62-3
 EC 235-462-4","Red shade scarlet orange;
 Staining w/ average tinting strength.",S/T,NR,A,
PO38,O,CIPIGMENT,38,Naphthol Orange,"Azo Burnt Orange [BR];
 Azo Burnt Orange Transparent [RGH.o.p];
 C.I. Pigment Orange 38;
 Pigment Orange 38;
 Naphthol Orange",12367,"Synthetic Organic;
 Naphthol AS;
 CAS 12236-64-5",Bright reddish to yellowish orange,T,II,A,
PO40,O,CIPIGMENT,40,Pigment Orange 40,"C.I. Pigment Orange 40;
 Pigment Orange 40;
 Vat Orange 9",59700,"Synthetic Organic;
 Unsubstituted pyranthrone;
 Pyranthrene-8, 16-dione
 CAS 128-70-1",,X,II,,
PO41,O,CIPIGMENT,41,Pigment Orange 41,"C.I. Pigment Orange 41;
 Pigment Orange 41;
 Vat Orange 9",59700,"Synthetic Organic;
 Pyranthrone; 
 Pyranthrene-8, 16-dione
 CAS 128-70-1",,X,X,,
PO43,O,CIPIGMENT,43,Perinone Orange,"Brilliant Orange [MA.a];
 Cadmium Orange Hue [WN.wo];
 Cadmium Red Light Azo (hue);
 C.I. Pigment Orange 43;
 Indanthrene Orange [MA.o(artis)]; 
 Indo Orange Red [BA.a | LQ.a | UT.a];
 Orange [RT]; 
 Orange Lake [MA.o.w];
 Perinone [GU];
 Perinone Orange [CAS.k | DS.a.o.w | DR.a| MW.o | WN | UT.w];
 Permanent Red Light [MA]; 
 Permanent Orange [MA.p]; 
 Permanent Red Orange [MA.o]; 
 Pigment Orange 43;
 Vat Orange [ GO.a.af.ag ];
 Vat Orange 7;
 Vermilion (hue) [RT.wo]",71105,"Organic synthetic Anthraquinone;
 Lake of Vat Orange 7 dye;
 Isoindoline-Methine
 Perinone; 
 CAS 4424-06-0","Mid to red shade orange;
 †Fades, darkens slightly",S/O,I,A,
PO45,O,CIPIGMENT,45,Chrome Orange,"American Vermillion (hue);
 Chrome Orange;
 Chrome Yellow;
 Chromorange;
 C.I. Pigment Orange 45;
 Crocoite*;
 Derby Red;
 Molybdate Chrome Orange;
 Orange Chrome;
 Persian Red;
 Pigment Orange 21;
 Pigment Orange 45;
 Rosetto Chrome;
 Vauquelin;
 Victoria Red",77601,"Inorganic;
 lead chromate;
 CAS 1344-38-3",Bright intense yellowish thru reddish Orange,O,III,C,
PO46,O,CIPIGMENT,46,Pigment Orange 46,"C.I. Pigment Orange 46;
 Clar-All Red;
 Clarion Red;
 Lake Orange B;
 Sunset Yellow;
 Sunbright Yellow;
 Pigment Orange 46",15602,"Synthetic Organic;
 Monoazo;
 Beta Naphthol;
 Monoazo Beta-Naphthol Lake of Barium (Ferro)
 CAS 63467-26-5",Bright reddish orange,S/T,IV,A,
PO47,O,CIPIGMENT,47,Quinacridone Orange,"C.I. Pigment Orange 47;
 Pigment Orange 47;
 Quinacridone Orange [GU.pd];
 Quinacridone Orange (red shade)",,"Synthetic Organic;
 Quinacridone","Deep reddish orange;
 Moderately staining w/ good tinting strength",S/T,NR,A,
PO48,O,CIPIGMENT,48,Quinacridone Burnt Orange,"ACRA Gold;
 C.I. Pigment Orange 48;
 Cinquasia® Gold YT-923-D;
 Cinquasia® Gold, red-gold [KP.p];
 Cinquasia® Red Gold [KP.p];
 Golden Orange [TA.a.af];
 Monastral Gold;
 Pigment Orange 48;
 Quinacridone Burnt Orange [CAS.k | DS.a.o.w | DV.w];
 Quinacridone Gold, Deep;
 Quinacridone Orange [GR.o.wo];
 Quinacridone Red Gold [GU];
 Quinacridone Red Orange [OH.a];
 Quinacridone Rust [MG.w];
 Quindo Gold",73900+ 73920,"Synthetic Organic;
 Not a simple mixture of pigments;
 Oxidation of dihydroquinacridone under conditions that produce a mixed crystal phase of Quinacridone & Quinacridonequinone. The product produces a unique x-ray diffraction pattern that is different from either of the quinacridones on their own or in a mix.;
 C.I.Pigment Violet 19 (C.I. 73900) and C.I.Pigment Red 206 (C.I. 73920) co-precipitated. The exact derivative has not been disclosed;
 C20-H12-N2-O2 / C20-H10-N2-O4
 CAS 1047-16-1;
 CAS 1503-48-6;
 CAS 71819-74-4","Deep golden reddish orange;
 Moderately staining w/ Moderate tinting strength",S/T,II,A,
