manufacturer,name,hex,lineId,pigmentSlugs,lightfastRating,transparencyRating,stainingRatingId,granulationRatingId
Roman Szmal,Quinacridone Fuchsia,#b23063,,PR202,I,S/T,4,Y
Roman Szmal,Quinacridone Gold,#df793a,,PY150|PO48,I,T,3,N
Roman Szmal,Quinacridone Gold (Hue),#dca644,,PR102|PY150,I,T,4,Y
Roman Szmal,Quinacridone Magenta,#dc478b,,PR122,I,T,3,N
Roman Szmal,Quinacridone Maroon,#c5483c,,PR206,I,T,2,N
Roman Szmal,Quinacridone Pink,#c83a83,,PR122,I,T,3,N
Roman Szmal,Quinacridone Purple,#8b4b92,,PV55,I,S/T,1,Y
Roman Szmal,Quinacridone Red,#7F2B2C,,PV19,I,T,3,N
Roman Szmal,Quinacridone Scarlet,#b84736,,,I,S/T,1,Y
Roman Szmal,Quinacridone Violet,#98355e,,PV19,I,S/T,3,N
Roman Szmal,Quinophthalone Yellow,#f6ec58,,PY138,I,S/T,4,N
Roman Szmal,Red Ochre,#ab5a41,,PR102,I,S/T,2,N
Roman Szmal,Roman Black,#45463e,,PBk11,I,S/T,3,Y
Roman Szmal,Royal Blue,#294161,,PW4|PB29|PB15:1,I,S/O,2,N
Roman Szmal,Sap Green,#407335,,PY150|PG7,I,T,3,N
Roman Szmal,Sap Green Light,#386f21,,PY110|PG7,I,S/T,3,Y
Roman Szmal,Scarlet Lake,#E12927,,PR188,I,T,2,N
Roman Szmal,Scarlet Red,#e73d38,,PR166,I,T,3,N
Roman Szmal,Sepia,#463f38,,PBr7|PBk9,I,S/T,3,Y
Roman Szmal,Shadow Grey,#555466,,PB29|PBr7|PV19,I,S/O,1,Y
Roman Szmal,Shadow Violet,#484561,,PG50|PB29|PV19,I,S/T,3,Y
Roman Szmal,Shadow Violet Light,#565c7b,,PB36|PB29|PR176,I,S/T,4,Y
Roman Szmal,Terra Pozzuoli,#d26845,,PR102,I,S/T,2,Y
Roman Szmal,Titanium White,#FFFFFF,,PW6,I,O,2,N
Roman Szmal,Transparent Brown,#793e32,,PBr23,I,T,3,N
Roman Szmal,Transparent Gold Ochre,#f8d865,,PY43,I,T,2,N
Roman Szmal,Transparent Oxide Brown,#7e5542,,PR101,I,T,2,Y
Roman Szmal,Transparent Oxide Red,#a75641,,PR101,I,T,2,Y
Roman Szmal,Transparent Oxide Yellow,#bb8f4c,,PY42,I,T,3,Y
Roman Szmal,Transparent Pyrrol Orange,#e95634,,PO71,I,T,3,N
Roman Szmal,Transparent Turquoise,#2c3746,,PB15:3|PG7,I,T,4,N
Roman Szmal,Ultramarine Blue (Green Shade),#3070e9,,PB29,I,S/T,3,Y
Roman Szmal,Ultramarine Intense,#2d4acd,,PB29,I,S/T,3,Y
Roman Szmal,Ultramarine Light,#12529C,,PB29,I,S/T,3,Y
Roman Szmal,Ultramarine Pink,#db9dc5,,PR259,I,S/T,2,Y
Roman Szmal,Ultramarine Violet,#4B326F,,PV15,I,S/T,2,Y
Roman Szmal,Van Dyck Brown,#53463c,,NBr8,I,S/T,3,Y
Roman Szmal,Venetian Red,#c45940,,PR102,I,S/T,2,Y
Roman Szmal,Venetian Yellow Earth,#f3c85c,,PY43,I,T,2,N
Roman Szmal,Veronese Red Earth,#c46d45,,PR102,I,S/T,2,Y
Roman Szmal,Veronese Yellow Earth,#f4cc5e,,PY43,I,S/T,2,N
Roman Szmal,Vine Black,#555247,,PBk8,I,S/O,2,N
Roman Szmal,Viridian,#56ab9c,,PG18,I,T,3,Y
Roman Szmal,Vivianite (Blue Ochre),#47575b,,vivianite,I,S/T,1,Y
Roman Szmal,Yellow Ochre,#ae5700,,PY43,I,T,2,N
ShinHan,Alizarin Crimson,#992D3D,51,PR23,I,T,X,X
ShinHan,Aureolin,#BB8C2E,51,PY42,I,T,X,X
ShinHan,Blue Grey,#1bb2e6,51,PB15:3|PW6,II,O,X,X
ShinHan,Blue Pale,#2f99cc,51,PB15|PW6,I,O,X,X
ShinHan,Bright Rose,#d53774,51,BR12,III,T,X,X
ShinHan,Bright Violet,#A93992,51,BV11,III,T,X,X
ShinHan,Brilliant Orange,#ED6B37,51,PO16,I,T,X,X
ShinHan,Brilliant Pink,#F37D97,51,PR209|PW6,II,O,X,X
ShinHan,Brown (PWC),#a0462c,51,PR101,II,S/T,X,X
ShinHan,Brown Madder,#9c352b,51,PR83|PY83,II,S/T,X,X
ShinHan,Brown Red (PWC),#492a23,51,PBr25,I,T,X,X
ShinHan,Burnt Sienna,#ac4a20,51,PR101,I,T,X,X
ShinHan,Burnt Umber,#5A3C3A,51,PBr7,I,T,X,X
ShinHan,Cadmium Green,#285B32,51,PG26|PY35,I,S/O,X,X
ShinHan,Cadmium Green Deep,#02501e,51,PG26|PY35,I,S/O,X,X
ShinHan,Cadmium Green Light,#a2ca11,51,PG7|PY35,I,S/O,X,X
ShinHan,Cadmium Green Middle,#509e32,51,PG26|PY35,I,S/O,X,X
ShinHan,Cadmium Green Pale,#ced933,51,PG26|PY35,I,S/O,X,X
ShinHan,Cadmium Red Deep,#D4383F,51,PR108,I,S/O,X,X
ShinHan,Cadmium Red Orange,#df4532,51,PO20,I,S/O,X,X
ShinHan,Cadmium Yellow,#feda00,51,PO20,I,S/O,X,X
ShinHan,Cadmium Yellow Deep,#D89328,51,PY35,I,S/O,X,X
ShinHan,Cadmium Yellow Light,#F1A132,51,PY35,I,S/O,X,X
ShinHan,Cadmium Yellow Orange,#EFAE1D,51,PY35|PO20,I,S/O,X,X
ShinHan,Cadmium Yellow Pale,#E7C81F,51,PY35,I,S/O,X,X
ShinHan,Carmine,#ae3943,51,PR83,I,T,X,X
ShinHan,Cerulean Blue,#0F8AC6,51,PB35,I,S/O,X,X
ShinHan,Cerulean Blue Hue (PWC),#2497D2,51,PB15:3,II,T,X,X
ShinHan,Chinese White,#FFFFFF,51,PW6,II,O,X,X
ShinHan,Cobalt Blue,#2280C2,51,PB28,I,S/T,X,X
ShinHan,Cobalt Blue Hue (PWC),#1765AD,51,PB29,I,T,X,X
ShinHan,Cobalt Green,#16BAA2,51,PY53|PG7,I,O,X,X
ShinHan,Cobalt Violet Light,#8F52A0,51,PV14,I,T,X,X
ShinHan,Crimson Lake (PWC),#802d3a,51,PR83,II,T,X,X
ShinHan,Davy’s Grey,#90A093,51,PBk31|PG17|PW6,I,O,X,X
ShinHan,Emerald Green Nova,#1ba351,51,PG7|PW6,II,S/O,X,X
ShinHan,Green Deep,#3a5b2f,51,PY3|PG7,II,S/T,X,X
ShinHan,Green Pale,#86c185,51,PG7|PW6,II,O,X,X
ShinHan,Greenish Yellow,#786e2e,51,PY129,II,T,X,X
ShinHan,Grey,#b4b6b8,51,PBk7|PW6,II,O,X,X
ShinHan,Hooker’s Green,#006A3A,51,PG8,II,T,X,X
ShinHan,Horizon Blue,#389399,51,PB15:4|PW6,I,O,X,X
ShinHan,Indian Yellow,#f1882f,51,PY183,II,T,X,X
ShinHan,Indigo,#26343F,51,PB66,II,S/O,X,X
ShinHan,Ivory Black,#2A2A2A,51,PBk9,I,O,X,X
ShinHan,Jaune Brilliant 1,#ffd9a2,51,PO20|PY74|PW6,II,O,X,X
ShinHan,Jaune Brilliant 2,#f5a07a,51,PO20|PW6,II,O,X,X
ShinHan,Lavender,#848aba,51,PB28|PV15|PW6,I,O,X,X
ShinHan,Leaf Green,#D5D539,51,PY74|PG7|PW6,II,T,X,X
ShinHan,Lemon Yellow,#FFF466,51,PY81,II,S/O,X,X
ShinHan,Light Red,#ac3f29,51,PR101,I,S/T,X,X
ShinHan,Lilac,#b780af,51,PR122|PV23|PW6,II,O,X,X
ShinHan,Marine Blue,#1F4959,51,PB15:3,I,T,X,X
ShinHan,Mineral Violet,#653c70,51,PV23,II,S/T,X,X
ShinHan,Naples Yellow,#FDDB70,51,PY35|PW6,I,O,X,X
ShinHan,Neutral Tint,#2C2D31,51,PB66|PBk11,II,O,X,X
ShinHan,Olive Green (PWC),#4E5744,51,PY83|PG8,II,S/O,X,X
ShinHan,Opera (PWC),#EE4598,51,BR1,III,T,X,X
ShinHan,Oxide of Chromium,#2C5231,51,PG17,I,O,X,X
ShinHan,Payne’s Grey,#3C4A57,51,PB66|PBk31,II,S/O,X,X
ShinHan,Peach Black,#2A2A2C,51,PBk1,I,O,X,X
ShinHan,Peacock Blue,#11679D,51,PB15:3,II,T,X,X
ShinHan,Peacock Green (PWC),#264335,51,PG7|PB15:3,II,S/T,X,X
ShinHan,Permanent Green 1,#7ab741,51,PG7,II,T,X,X
ShinHan,Permanent Green 2,#42913f,51,PG7,II,T,X,X
ShinHan,Permanent Magenta,#8D2C4E,51,PV19,I,S/T,X,X
ShinHan,Permanent Red,#D5313C,51,PR209,I,T,X,X
ShinHan,Permanent Rose,#DF3461,51,PV19,II,T,X,X
ShinHan,Permanent Violet,#5F408E,51,PV3,II,T,X,X
ShinHan,Permanent Yellow Deep,#f09d32,51,PY83,II,T,X,X
ShinHan,Permanent Yellow Light,#fbb738,51,PY1,II,T,X,X
ShinHan,Permanent Yellow Orange,#e56f35,51,PY83|PO13,II,T,X,X
ShinHan,Phthalo Blue (Red Shade),#2A296A,51,PB29,I,T,X,X
ShinHan,Phthalo Green Dark,#0f473a,51,PG7|PBr7,I,S/O,X,X
ShinHan,Prussian Blue,#1E3A50,51,PB27,II,T,X,X
ShinHan,Purple Grey,#9E486F,51,PR122|PW6,III,O,X,X
ShinHan,Pyrrole Red,#9A2B19,51,PR254,I,T,X,X
ShinHan,Quinacridone Red,#7F2B2C,51,PV19,I,T,X,X
ShinHan,Raw Sienna,#AC6A3D,51,PR101,I,T,X,X
ShinHan,Raw Umber,#7f503e,51,PR101,I,T,X,X
ShinHan,Rose Madder,#A32A35,51,PR83,I,T,X,X
ShinHan,Royal Blue,#294161,51,PB15:3|PB66,I,S/O,X,X
ShinHan,Sap Green,#407335,51,PG8,II,T,X,X
ShinHan,Scarlet Lake,#E12927,51,PR48:1|PR9,II,T,X,X
ShinHan,Sepia,#413531,51,PR101|PBk11,I,S/O,X,X
ShinHan,Shadow Green,#153834,51,PBk31,I,S/T,X,X
ShinHan,Shell Pink,#F8BCB4,51,PR9|PW6,II,O,X,X
ShinHan,Terre Verte,#44684e,51,PB28|PG8,I,T,X,X
ShinHan,Terre Verte (Yellow Shade),#a3ad3d,51,PBr7,I,T,X,X
ShinHan,Titanium White,#FFFFFF,51,PW6,I,O,X,X
ShinHan,Turquoise Blue,#0197A3,51,PG7|PB28|PW6,II,O,X,X
ShinHan,Turquoise Blue Light,#0ca2ba,51,PB28|PW18|PG7,I,S/O,X,X
ShinHan,Ultramarine Deep,#3E4EA0,51,PB29,I,T,X,X
ShinHan,Ultramarine Light,#12529C,51,PB29,I,T,X,X
ShinHan,Ultramarine Violet,#4B326F,51,PV15,II,S/O,X,X
ShinHan,Umber,#453b27,51,PBr7,I,S/T,X,X
ShinHan,Vandyke Brown 1,#483832,51,NBr8,II,T,X,X
ShinHan,Vandyke Brown 2,#553735,51,PR101,I,S/T,X,X
ShinHan,Verditer Blue,#2478b1,51,PB28|PW6,I,O,X,X
ShinHan,Vermilion,#c7382c,51,PR108|PO20,I,S/T,X,X
ShinHan,Vermilion Hue,#c5392e,51,PO16,III,T,X,X
ShinHan,Viridian,#1D9A6D,51,PG7,I,T,X,X
ShinHan,Viridian Hue,#0C6144,51,PG7,I,T,X,X
ShinHan,Yellow Ochre,#ae5700,51,PY42,I,S/O,X,X
Turner,Brown Madder,#7c150b,,PR175,,,,
Turner,Burnt Sienna,#ac4a20,,PBr7,,,,
Turner,Burnt Umber,#5A3C3A,,PBr7,,,,
Turner,Chinese White,#FFFFFF,,PW6|PW7,,,,
Turner,Cobalt Violet,#a935a1,,PV49,,,,
Turner,Dioxazine Violet,#270a48,,PV23,,,,
Turner,Ivory Black,#2A2A2A,,PBk9,,,,
Turner,Manganese Blue,#016bbe,,PB15,,,,
Turner,Maya Blue,#0f3451,,PB82,,,,
Turner,Maya Green,#243133,,SG3,,,,
Turner,Maya Orange,#d16f06,,SY163,,,,
Turner,Maya Red,#da2c30,,PR254,,,,
Turner,Maya Violet,#372072,,VR41,,,,
Turner,Maya Yellow,#e6d433,,SY33,,,,
Turner,Naphthol Red,#b80509,,PR5,,,,
Turner,Permanent Gamboge,#d66f19,,PY150|PY110|PY109,,,,
Turner,Permanent Scarlet,#d00f06,,PR188,,,,
Turner,Permanent Yellow,#f7c30f,,PY154,,,,
Turner,Phthalo Blue (Green Shade),#2a3e82,,PB15,,,,
Turner,Phthalo Green (Blue Shade),#14257b,,PG7,,,,
Turner,Pyrrole Red,#9A2B19,,PR254,,,,
Turner,Rose Madder Hue,#8f000b,,PR187,,,,
Turner,Sap Green,#407335,,PG36|PY110,,,,
Turner,Turquoise Blue,#0197A3,,PB28,,,,
Turner,Ultramarine,#2d20b0,,PB29,,,,
Turner,Yellow Ochre,#ae5700,,PY43,,,,
White Nights (St Petersburg),Antique Gold,#87654a,,metallic-gold,I,T,1,N
White Nights (St Petersburg),Aquamarine Mist,#057e98,,PB29|PG7,I,S/T,4,Y
White Nights (St Petersburg),Aureolin,#BB8C2E,,PY151,I,T,3,N
White Nights (St Petersburg),Aztec Gold,#a77c51,,,I,T,1,N
White Nights (St Petersburg),Azure,#1056c5,,PB15,I,T,4,N
White Nights (St Petersburg),Azure Blue,#182452,,PB15:3|PG7,I,T,4,N
White Nights (St Petersburg),Blue,#226ad7,,PB15:6,I,T,4,N
White Nights (St Petersburg),Blue Lake,#120499,,PB1,III,T,3,N
White Nights (St Petersburg),Blue Mist,#016397,,PB29|PG7,I,S/T,4,Y
White Nights (St Petersburg),Blue Shadows,#3a4966,,PB29|PBk11,I,S/T,1,Y
White Nights (St Petersburg),Bright Blue,#127dce,,PB15:3,I,T,4,N
White Nights (St Petersburg),Bronze,#776153,,bronze-powder,I,T,1,N
White Nights (St Petersburg),Burnt Sienna,#ac4a20,,PBr7,I,S/T,1,Y
White Nights (St Petersburg),Burnt Umber,#5A3C3A,,PBr7,I,S/T,1,Y
White Nights (St Petersburg),Cadmium Lemon,#fbfe00,,PY35,I,S/T,3,N
White Nights (St Petersburg),Cadmium Orange,#fb4c00,,PO20,I,O,1,Y
White Nights (St Petersburg),Cadmium Red Light,#f12000,,PR108,I,O,1,Y
White Nights (St Petersburg),Cadmium Yellow Medium,#fce637,,PY35,I,O,1,N
White Nights (St Petersburg),Caput Mortuum,#99545d,,PR101,I,O,3,N
White Nights (St Petersburg),Carmine,#ec170e,,PV19,I,T,4,N
White Nights (St Petersburg),Celestial Blue,#76cfed,,PB15:3|PW6,I,O,3,N
White Nights (St Petersburg),Cerulean Blue,#0F8AC6,,PB35,I,S/T,1,Y
White Nights (St Petersburg),Chromium Cobalt Mist,#1e3a3b,,PB28|PG7,I,S/T,1,Y
White Nights (St Petersburg),Chromium Oxide,#678b34,,PG17,I,O,1,N
White Nights (St Petersburg),Claret,#b61d1e,,PR12,III,T,4,N
White Nights (St Petersburg),Cobalt Azure Blue,#03a1e2,,PB36,I,S/T,1,Y
White Nights (St Petersburg),Cobalt Blue,#2280C2,,PB28,I,S/T,1,Y
White Nights (St Petersburg),Cobalt Chrome Turquoise,,,PB36,I,S/T,1,Y
White Nights (St Petersburg),Cobalt Mist,#203b63,,PB28|PBk7,I,S/T,1,Y
White Nights (St Petersburg),Cobalt Turquoise,#29b3d6,,PB28,I,S/T,1,Y
White Nights (St Petersburg),Copper,#a46252,,copper-alloy,I,T,1,N
White Nights (St Petersburg),Coral,#f99e7f,,PR242|PW6,I,O,X,X
White Nights (St Petersburg),Dark Blue Shadows,#26476a,,PBk11|PB15:6,I,S/T,4,Y
White Nights (St Petersburg),Dioxazine Violet,#644390,,PV23,I,T,4,N
White Nights (St Petersburg),Dune,#baa07f,,PY42|PBr6|PBk7|PW6,I,O,3,N
White Nights (St Petersburg),Emerald Green,#006121,,PG7,I,T,4,N
White Nights (St Petersburg),English Red,#a93623,,PR101,I,O,X,X
White Nights (St Petersburg),Geranium Red,#f55442,,PR242,I,S/T,4,N
White Nights (St Petersburg),Golden,#fa9522,,PY3|PO64,II,T,3,N
White Nights (St Petersburg),Golden Deep,#f77f26,,PO62,I,T,3,N
White Nights (St Petersburg),Green,#41803b,,PG8,II,T,4,N
White Nights (St Petersburg),Green Earth,#3d522b,,PBr7|PG17,I,S/T,1,N
White Nights (St Petersburg),Green Light,#03a131,,PG36,I,T,3,N
White Nights (St Petersburg),Green Original,#058838,,PY35|PG7,I,T,3,N
White Nights (St Petersburg),Green Shadows,#1b3534,,PBk11|PG7,I,S/T,4,Y
White Nights (St Petersburg),Grey-Blue Mist,#364155,,PB29|PBk7,I,S/T,3,Y
White Nights (St Petersburg),Grey-Pink Mist,#353942,,PB29|PG7|PR187,I,S/T,3,Y
White Nights (St Petersburg),Grey-Rose Mist,#353942,,PB29|PG17|PR187,I,S/T,3,Y
White Nights (St Petersburg),Hansa Yellow,,,PY1,X,X,X,X
White Nights (St Petersburg),Hematite Mist,#4e404d,,PB29|PR101,I,S/T,1,Y
White Nights (St Petersburg),Inca Gold,#a2825b,,,I,T,1,N
White Nights (St Petersburg),Indanthrone Blue,#29418a,,PB60,I,T,3,N
White Nights (St Petersburg),Indian Gold,#f08c01,,PY150|PR101,I,O,3,N
White Nights (St Petersburg),Indian Yellow,#f9d503,,PY150,I,T,3,N
White Nights (St Petersburg),Indigo,#26343F,,PBk7|PB15|PV23,I,S/T,4,N
White Nights (St Petersburg),Irgazin Yellow,#d0b602,,PY129,I,T,1,N
White Nights (St Petersburg),Ivory Black,#2A2A2A,,PR102|PBk7,I,S/T,3,Y
White Nights (St Petersburg),Lamp Black,#2a2623,,PBk7,I,S/T,4,N
White Nights (St Petersburg),Lavender,#879ED2,,PV15|PB29|PW6,I,O,3,N
White Nights (St Petersburg),Lemon,#f5f400,,PY3,I,T,1,N
White Nights (St Petersburg),Lilac,#deaad1,,PV19|PW6,I,O,X,X
White Nights (St Petersburg),Lilac Mist,#574ba0,,PB29|PR122,I,S/T,1,Y
White Nights (St Petersburg),Madder Lake Red Light,#e62d2f,,PR187,I,T,3,N
White Nights (St Petersburg),Magnolia,#f29ad7,,PR19|PW6,I,O,1,N
White Nights (St Petersburg),Marengo,#b1c2d2,,PB15|PBk7|PW6,I,O,1,N
White Nights (St Petersburg),Maroon,,,PBr7|PR19|PW6,I,O,1,N
White Nights (St Petersburg),Mars Brown,#864f29,,PBr6,I,T,1,Y
White Nights (St Petersburg),May Green,#cddd09,,PY3|PG36,I,T,3,N
White Nights (St Petersburg),Mint,#72c2bd,,PG7|PW6,I,O,3,N
White Nights (St Petersburg),Mocha,#dca5a0,,PR102|PV55|PW6,I,O,1,N
White Nights (St Petersburg),Naples Flesh,,,PO62|PW6,I,O,1,N
White Nights (St Petersburg),Naples Orange,#fda60c,,PY216,I,O,1,Y
White Nights (St Petersburg),Naples Yellow,#FDDB70,,PY42|PY35|PO20|PW4,I,O,1,Y
White Nights (St Petersburg),Naples Yellow Light,#f8e133,,PY216,I,O,1,N
White Nights (St Petersburg),Neon Pink,#ee35c1,,PR122,I,O,3,N
White Nights (St Petersburg),Neutral Black,#5c6164,,PR187|PB15:1|PBk7,I,S/T,4,N
White Nights (St Petersburg),Ochre Light,#fbb43e,,PY43,I,S/T,1,N
White Nights (St Petersburg),Olive Green,#4E5744,,PG17|PY1|PBk7,II,S/T,3,N
White Nights (St Petersburg),Orange,#f75a00,,PO64,I,S/T,3,N
White Nights (St Petersburg),Orange Lake,#fa6c2e,,PO17,III,T,4,N
White Nights (St Petersburg),Payne’s Grey,#3C4A57,,PBk7|PB15|PV23,I,S/T,3,N
White Nights (St Petersburg),Peach,#fbb987,,PY3|PO64|PW6,I,O,3,N
White Nights (St Petersburg),Pearl Grey,#bec0cc,,PR102|PBk7|PW6,I,O,1,N
White Nights (St Petersburg),Perylene Violet,#793e4a,,PV29,I,T,4,N
White Nights (St Petersburg),Petersburg Ochre,#e2d4b1,,PY42|PBk8|PW6,I,O,1,N
White Nights (St Petersburg),Pink Peony,#e78cb8,,PR122|PW6,I,O,3,N
White Nights (St Petersburg),Prussian Blue,#1E3A50,,PB27,II,T,4,N
White Nights (St Petersburg),Quinacridone Lilac,#be1977,,PV19,I,T,4,N
White Nights (St Petersburg),Quinacridone Red,#7F2B2C,,PR19,I,T,3,N
White Nights (St Petersburg),Quinacridone Rose,#ce184c,,PR122,I,T,4,N
White Nights (St Petersburg),Quinacridone Violet,#bc104a,,PV55,I,T,4,N
White Nights (St Petersburg),Quinacridone Violet Rose,#bc134c,,PR19,I,T,4,N
White Nights (St Petersburg),Raw Sienna,#AC6A3D,,PBr43,I,S/T,1,Y
White Nights (St Petersburg),Red Ochre,#a83921,,PR102,I,S/T,1,N
White Nights (St Petersburg),Rose,#d92968,,PR81,III,T,4,N
White Nights (St Petersburg),Rose Quartz,#d994cb,,PR170|PW6,I,O,3,N
White Nights (St Petersburg),Royal Blue,#294161,,PB29|PW6,I,O,3,N
White Nights (St Petersburg),Ruby,#f21a01,,PR170,I,T,4,N
White Nights (St Petersburg),Sap Green,#407335,,PY150|PG36|PBk7,I,T,4,N
White Nights (St Petersburg),Scarlet,#ed1200,,PR188,I,T,4,N
White Nights (St Petersburg),Scarlet Light,#E12927,,PR2|PR4,III,T,X,X
White Nights (St Petersburg),Sepia,#625242,,PR102|PR187|PBr7,I,S/T,3,N
White Nights (St Petersburg),Shakhnazarskaya Red,#c73d0e,,PR102,I,S/T,3,N
White Nights (St Petersburg),Silver Deep,#707c8a,,,I,T,1,N
White Nights (St Petersburg),Silver Light,#989aa6,,metallic-silver,I,T,1,N
White Nights (St Petersburg),Sky-Blue Shadows,#234652,,PB28|PBk11,I,S/T,1,Y
White Nights (St Petersburg),Taiga Mist,#243638,,PBr7|PB15:3,I,S/T,3,Y
White Nights (St Petersburg),Titian Red,#f03f00,,PO36,I,T,3,N
White Nights (St Petersburg),Turquoise Blue,#0197A3,,PB15:3|PG7,I,T,4,N
White Nights (St Petersburg),Ultramarine,#1e3885,,PB29,I,S/T,3,Y
White Nights (St Petersburg),Ultramarine Deep,#3E4EA0,,PB29,I,T,1,Y
White Nights (St Petersburg),Ultramarine Violet,#4B326F,,PV15,I,S/T,1,Y
White Nights (St Petersburg),Umber,#7d6543,,PY43|PBr7|PBk7,I,S/T,1,N
White Nights (St Petersburg),Van Dyke Brown,#9b785c,,PR102|PBk8,I,O,1,N
White Nights (St Petersburg),Venetian Red,#d43321,,PR102|PR187,I,T,3,N
White Nights (St Petersburg),Venice Purple,#f66d6f,,PR179,I,S/T,3,N
White Nights (St Petersburg),Vermilion (Imit.),,,PR188|PY154,I,T,3,N
White Nights (St Petersburg),Vermilion Hue,#e4320e,,PR4|PY1,III,T,X,X
White Nights (St Petersburg),Violet,#331b6b,,PV3,III,T,4,N
White Nights (St Petersburg),Violet Mist,#5c5c73,,PB29|PG17|PR187,I,S/T,3,Y
White Nights (St Petersburg),Violet Rose,#a91a90,,PV2,III,T,4,N
White Nights (St Petersburg),Violet Shadow,#574962,,PBk11|PV23,I,S/T,4,Y
White Nights (St Petersburg),Voronezhskaya Black,#695848,,PBk8,I,S/T,1,Y
White Nights (St Petersburg),Warm Green,#bbf5c3,,PY151|PG7|PW6,I,O,1,N
White Nights (St Petersburg),Yellow,#fee801,,PY154,I,T,4,N
White Nights (St Petersburg),Yellow Ochre,#ae5700,,PY43|PY154,II,S/T,1,N
White Nights (St Petersburg),Yellowish Green,#03a100,,PG7|PY3,I,T,4,N
White Nights (St Petersburg),Zinc White,#fdfdfd,,PW4,I,S/O,1,N
