manufacturer,name,hex,lineId,pigmentSlugs,lightfastRatingId,transparencyRatingId,stainingRatingId,granulationRatingId,manufacturerDescription,url
Blick,Phthalo Blue,#2F187E,,PB15,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-phthalo-blue-14-ml-tube/
Blick,Phthalo Green,#006D66,,PG7,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-phthalo-green-14-ml-tube/
Blick,Phthalo Yellow Green,#71D14D,,PG36|PY3,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-phthalo-yellow-green-14-ml-tube/
Blick,Prussian Blue,#262E91,,PB27,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-prussian-blue-14-ml-tube/
Blick,Quinacridone Magenta,#611839,,PR122,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-quinacridone-magenta-14-ml-tube/
Blick,Quinacridone Red,#CF1027,,PV19,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-quinacridone-red-14-ml-tube/
Blick,Quinacridone Rose,#C9214E,,PV19,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-quinacridone-rose-14-ml-tube/
Blick,Quinacridone Violet,#453772,,PV23|PB29,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-quinacridone-violet-14-ml-tube/
Blick,Raw Sienna,#E29819,,PBr7,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-raw-sienna-14-ml-tube/
Blick,Raw Umber,#B26600,,,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-raw-umber-14-ml-tube/
Blick,Sap Green,#4D5E2F,,PB15|PO48|PG7|PY150,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-sap-green-14-ml-tube/
Blick,Sepia,#352D12,,PBr7|PBk6,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-sepia-14-ml-tube/
Blick,Terre Verte,#184E39,,PBr7|PG18,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-terre-verte-14-ml-tube/
Blick,Titanium White,#FFFFFF,,PW6:1,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-titanium-white-14-ml-tube/
Blick,Transparent Orange,#CC4227,,PO71,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-transparent-orange-14-ml-tube/
Blick,Ultramarine Blue,#3E3FA0,,PB29,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-ultramarine-blue-14-ml-tube/
Blick,Van Dyke Brown,#452F1E,,PBr9,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-van-dyke-brown-14-ml-tube/
Blick,Vermilion,#FC3E00,,PR188|PR170|PR209|PY3,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-vermilion-14-ml-tube/
Blick,Viridian,#194E42,,PG18,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-viridian-14-ml-tube/
Blick,Yellow Ochre,#D79B07,,PBr7|PY42,,,,,,https://www.dickblick.com/items/blick-artists-watercolor-yellow-ochre-14-ml-tube/
Blockx,Blockx Blue,#323D94,,PB15:1,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-blockx-blue-15-ml-tube/
Blockx,Blockx Green,#09452F,,PG7,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-blockx-green-15-ml-tube/
Blockx,Blockx Red,#E00541,,PR254,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-blockx-red-15-ml-tube/
Blockx,Blockx Yellow,#FBF122,,PY3,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-blockx-yellow-15-ml-tube/
Blockx,Burnt Sienna Deep,#6F4531,,PBr7,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-burnt-sienna-deep-15-ml-tube/
Blockx,Burnt Sienna Light,#9D5633,,PBr7,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-burnt-sienna-light-15-ml-tube/
Blockx,Burnt Umber,#5B392D,,PBr7,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-burnt-umber-15-ml-tube/
Blockx,Cadmium Purple,#A73518,,PR108,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-cadmium-purple-15-ml-tube/
Blockx,Cadmium Red,#C21505,,PR108,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-cadmium-red-15-ml-tube/
Blockx,Cadmium Red Orange,#F65B19,,PO20,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-cadmium-red-orange-15-ml-tube/
Blockx,Cadmium Yellow Medium,#FFD71B,,PY35,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-cadmium-yellow-medium-15-ml-tube/
Blockx,Cadmium Yellow Orange,#FDA400,,PO20,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-cadmium-yellow-orange-15-ml-tube/
Blockx,Cadmium Yellow Pale,#FCEF21,,PY35,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-cadmium-yellow-pale-15-ml-tube/
Blockx,Cerulean Blue,#354DA2,,PB36,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-cerulean-blue-15-ml-tube/
Blockx,Cerulean Gray,#9BBDCD,,PB35,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-cerulean-gray-15-ml-tube/
